model_name,ics
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_35.pdb,0.271
cf_woTemplates_model_1_multimer_v2_pred_27.pdb,0.271
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_46.pdb,0.271
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_25.pdb,0.271
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_23.pdb,0.27
afm_woTemplates_model_3_multimer_v1_pred_51.pdb,0.27
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_22.pdb,0.27
afm_woTemplates_model_5_multimer_v1_pred_26.pdb,0.27
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_11.pdb,0.27
afm_basic_model_4_multimer_v1_pred_43.pdb,0.27
afm_woTemplates_model_5_multimer_v1_pred_40.pdb,0.269
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_15.pdb,0.268
afm_dropout_full_model_4_multimer_v1_pred_41.pdb,0.268
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_55.pdb,0.268
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_41.pdb,0.268
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_61.pdb,0.268
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_18.pdb,0.268
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_17.pdb,0.268
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_65.pdb,0.268
cf_woTemplates_model_5_multimer_v2_pred_65.pdb,0.267
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_59.pdb,0.267
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_33.pdb,0.267
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_14.pdb,0.267
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_4.pdb,0.267
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_45.pdb,0.267
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_22.pdb,0.267
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_51.pdb,0.267
cf_woTemplates_model_3_multimer_v1_pred_63.pdb,0.266
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_59.pdb,0.266
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_63.pdb,0.265
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_34.pdb,0.265
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_62.pdb,0.265
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_54.pdb,0.265
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_28.pdb,0.265
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_8.pdb,0.265
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_22.pdb,0.265
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_60.pdb,0.265
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_28.pdb,0.264
afm_basic_model_5_multimer_v1_pred_53.pdb,0.264
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_5.pdb,0.264
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_45.pdb,0.264
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_20.pdb,0.263
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_64.pdb,0.263
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_49.pdb,0.263
afm_basic_model_4_multimer_v1_pred_25.pdb,0.263
afm_dropout_full_model_5_multimer_v1_pred_35.pdb,0.263
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_41.pdb,0.263
afm_woTemplates_model_5_multimer_v3_pred_9.pdb,0.262
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_34.pdb,0.262
afm_woTemplates_model_1_multimer_v1_pred_15.pdb,0.262
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_44.pdb,0.262
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_60.pdb,0.261
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_32.pdb,0.261
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_0.pdb,0.261
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_19.pdb,0.261
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.26
cf_woTemplates_model_1_multimer_v2_pred_1.pdb,0.26
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_19.pdb,0.26
cf_woTemplates_model_1_multimer_v2_pred_9.pdb,0.26
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_45.pdb,0.26
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_13.pdb,0.26
afm_woTemplates_model_3_multimer_v1_pred_62.pdb,0.259
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_51.pdb,0.259
afm_woTemplates_model_1_multimer_v2_pred_15.pdb,0.259
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_16.pdb,0.259
cf_woTemplates_model_1_multimer_v2_pred_54.pdb,0.258
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_28.pdb,0.258
afm_woTemplates_model_5_multimer_v1_pred_35.pdb,0.257
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_38.pdb,0.257
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_14.pdb,0.257
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_19.pdb,0.257
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_64.pdb,0.257
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_60.pdb,0.257
afm_dropout_full_model_4_multimer_v1_pred_6.pdb,0.257
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_63.pdb,0.257
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_9.pdb,0.257
cf_woTemplates_model_1_multimer_v2_pred_62.pdb,0.257
afm_woTemplates_model_4_multimer_v1_pred_54.pdb,0.256
afm_woTemplates_model_3_multimer_v1_pred_7.pdb,0.256
afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_21.pdb,0.256
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_17.pdb,0.256
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_2.pdb,0.255
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_0.pdb,0.255
cf_woTemplates_model_1_multimer_v2_pred_3.pdb,0.255
cf_woTemplates_model_1_multimer_v2_pred_40.pdb,0.255
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_49.pdb,0.255
cf_woTemplates_model_4_multimer_v2_pred_35.pdb,0.255
afm_woTemplates_model_5_multimer_v1_pred_34.pdb,0.254
afm_woTemplates_model_1_multimer_v1_pred_37.pdb,0.253
afm_woTemplates_model_5_multimer_v1_pred_1.pdb,0.253
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_40.pdb,0.253
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_62.pdb,0.253
cf_woTemplates_model_1_multimer_v2_pred_11.pdb,0.252
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_48.pdb,0.252
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_3.pdb,0.252
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_17.pdb,0.252
afm_dropout_full_model_5_multimer_v1_pred_40.pdb,0.252
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_16.pdb,0.252
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_5.pdb,0.252
afm_dropout_full_model_5_multimer_v1_pred_30.pdb,0.252
afm_dropout_full_model_5_multimer_v1_pred_38.pdb,0.252
afm_dropout_full_model_5_multimer_v1_pred_55.pdb,0.252
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_24.pdb,0.252
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_20.pdb,0.252
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_23.pdb,0.25
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_30.pdb,0.25
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_37.pdb,0.25
afm_woTemplates_model_3_multimer_v1_pred_20.pdb,0.25
afm_woTemplates_model_5_multimer_v1_pred_37.pdb,0.25
afm_woTemplates_model_3_multimer_v1_pred_57.pdb,0.25
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_53.pdb,0.25
cf_woTemplates_model_1_multimer_v1_pred_40.pdb,0.25
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_12.pdb,0.25
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_50.pdb,0.25
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_59.pdb,0.248
cf_woTemplates_model_1_multimer_v2_pred_63.pdb,0.248
cf_woTemplates_model_1_multimer_v2_pred_34.pdb,0.248
afm_basic_model_5_multimer_v1_pred_7.pdb,0.248
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_55.pdb,0.248
cf_woTemplates_model_1_multimer_v2_pred_44.pdb,0.248
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_43.pdb,0.247
afm_woTemplates_model_1_multimer_v1_pred_47.pdb,0.247
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_10.pdb,0.247
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_15.pdb,0.247
afm_woTemplates_model_1_multimer_v1_pred_60.pdb,0.247
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_58.pdb,0.247
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_40.pdb,0.247
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_46.pdb,0.247
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_64.pdb,0.247
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_35.pdb,0.247
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_48.pdb,0.246
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_43.pdb,0.246
afm_dropout_full_model_5_multimer_v1_pred_29.pdb,0.246
afm_dropout_full_model_5_multimer_v1_pred_62.pdb,0.246
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_5.pdb,0.246
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_50.pdb,0.245
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_50.pdb,0.245
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_40.pdb,0.245
cf_woTemplates_model_1_multimer_v2_pred_26.pdb,0.245
cf_woTemplates_model_1_multimer_v2_pred_42.pdb,0.245
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_20.pdb,0.245
cf_woTemplates_model_5_multimer_v1_pred_27.pdb,0.244
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_0.pdb,0.244
cf_woTemplates_model_5_multimer_v1_pred_30.pdb,0.244
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_9.pdb,0.244
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_22.pdb,0.243
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_39.pdb,0.243
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.242
afm_dropout_full_model_5_multimer_v1_pred_20.pdb,0.242
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_13.pdb,0.242
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_11.pdb,0.242
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_55.pdb,0.242
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_59.pdb,0.242
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_42.pdb,0.242
afm_woTemplates_model_3_multimer_v1_pred_29.pdb,0.242
afm_woTemplates_model_1_multimer_v1_pred_8.pdb,0.242
afm_basic_model_4_multimer_v1_pred_45.pdb,0.242
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_30.pdb,0.241
afm_dropout_full_model_5_multimer_v1_pred_16.pdb,0.241
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_61.pdb,0.241
afm_woTemplates_model_4_multimer_v1_pred_40.pdb,0.241
afm_woTemplates_model_3_multimer_v1_pred_28.pdb,0.241
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_39.pdb,0.241
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_20.pdb,0.24
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_34.pdb,0.24
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_33.pdb,0.24
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_16.pdb,0.24
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_28.pdb,0.24
afm_woTemplates_model_2_multimer_v1_pred_4.pdb,0.239
afm_woTemplates_model_5_multimer_v1_pred_16.pdb,0.239
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_35.pdb,0.239
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_5.pdb,0.239
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_26.pdb,0.239
afm_woTemplates_model_2_multimer_v1_pred_47.pdb,0.239
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_36.pdb,0.239
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_19.pdb,0.238
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_25.pdb,0.238
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_0.pdb,0.238
afm_woTemplates_model_5_multimer_v1_pred_58.pdb,0.238
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_3.pdb,0.238
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_32.pdb,0.238
afm_woTemplates_model_3_multimer_v1_pred_12.pdb,0.238
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_25.pdb,0.237
afm_basic_model_1_multimer_v2_pred_1.pdb,0.237
cf_woTemplates_model_4_multimer_v2_pred_60.pdb,0.237
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_44.pdb,0.236
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_9.pdb,0.236
afm_woTemplates_model_3_multimer_v1_pred_63.pdb,0.236
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_53.pdb,0.235
cf_woTemplates_model_5_multimer_v2_pred_0.pdb,0.235
cf_woTemplates_model_5_multimer_v2_pred_59.pdb,0.235
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_30.pdb,0.235
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_42.pdb,0.235
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_66.pdb,0.235
cf_woTemplates_model_5_multimer_v2_pred_32.pdb,0.235
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_26.pdb,0.234
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_24.pdb,0.234
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_47.pdb,0.233
cf_woTemplates_model_1_multimer_v1_pred_7.pdb,0.233
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_64.pdb,0.233
cf_woTemplates_model_1_multimer_v2_pred_18.pdb,0.233
cf_woTemplates_model_1_multimer_v2_pred_14.pdb,0.233
afm_woTemplates_model_2_multimer_v1_pred_58.pdb,0.233
cf_woTemplates_model_3_multimer_v1_pred_56.pdb,0.233
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_22.pdb,0.233
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_1.pdb,0.232
afm_woTemplates_model_3_multimer_v1_pred_39.pdb,0.232
cf_woTemplates_model_5_multimer_v1_pred_33.pdb,0.232
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_39.pdb,0.232
afm_woTemplates_model_5_multimer_v1_pred_9.pdb,0.232
cf_woTemplates_model_5_multimer_v1_pred_20.pdb,0.232
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_62.pdb,0.232
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_15.pdb,0.232
cf_woTemplates_model_1_multimer_v2_pred_30.pdb,0.232
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_62.pdb,0.232
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_33.pdb,0.231
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_58.pdb,0.231
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_49.pdb,0.231
afm_woTemplates_model_3_multimer_v2_pred_15.pdb,0.231
afm_basic_model_1_multimer_v2_pred_66.pdb,0.231
cf_woTemplates_model_1_multimer_v2_pred_51.pdb,0.231
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_38.pdb,0.231
cf_woTemplates_model_1_multimer_v1_pred_66.pdb,0.23
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_53.pdb,0.23
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_52.pdb,0.23
cf_woTemplates_model_1_multimer_v1_pred_6.pdb,0.23
cf_woTemplates_model_1_multimer_v2_pred_6.pdb,0.23
cf_woTemplates_model_5_multimer_v2_pred_20.pdb,0.23
cf_woTemplates_model_1_multimer_v1_pred_31.pdb,0.23
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_27.pdb,0.23
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_59.pdb,0.229
cf_woTemplates_model_1_multimer_v2_pred_60.pdb,0.229
afm_woTemplates_model_5_multimer_v1_pred_61.pdb,0.229
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_14.pdb,0.229
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_20.pdb,0.229
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_42.pdb,0.229
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_59.pdb,0.229
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_3.pdb,0.229
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_29.pdb,0.229
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_0.pdb,0.229
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_61.pdb,0.228
afm_basic_model_1_multimer_v2_pred_14.pdb,0.228
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_9.pdb,0.228
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_22.pdb,0.228
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_52.pdb,0.227
afm_woTemplates_model_2_multimer_v1_pred_14.pdb,0.227
cf_woTemplates_model_1_multimer_v1_pred_5.pdb,0.227
cf_woTemplates_model_1_multimer_v2_pred_52.pdb,0.227
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_35.pdb,0.227
cf_woTemplates_model_5_multimer_v1_pred_60.pdb,0.227
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_14.pdb,0.227
cf_woTemplates_model_5_multimer_v1_pred_38.pdb,0.227
afm_woTemplates_model_1_multimer_v1_pred_43.pdb,0.227
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_31.pdb,0.226
afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_24.pdb,0.226
afm_woTemplates_model_5_multimer_v1_pred_65.pdb,0.226
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_60.pdb,0.226
cf_woTemplates_model_5_multimer_v1_pred_45.pdb,0.225
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_41.pdb,0.225
afm_woTemplates_model_3_multimer_v1_pred_64.pdb,0.225
afm_woTemplates_model_3_multimer_v1_pred_17.pdb,0.225
afm_woTemplates_model_5_multimer_v1_pred_15.pdb,0.224
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_48.pdb,0.224
cf_woTemplates_model_1_multimer_v2_pred_23.pdb,0.224
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_23.pdb,0.224
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_51.pdb,0.224
cf_woTemplates_model_1_multimer_v2_pred_59.pdb,0.224
cf_woTemplates_model_1_multimer_v2_pred_5.pdb,0.224
afm_woTemplates_model_3_multimer_v1_pred_15.pdb,0.222
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_7.pdb,0.222
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_21.pdb,0.222
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_14.pdb,0.222
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_27.pdb,0.222
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_55.pdb,0.222
cf_woTemplates_model_1_multimer_v2_pred_46.pdb,0.222
cf_woTemplates_model_1_multimer_v2_pred_12.pdb,0.222
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_53.pdb,0.222
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_60.pdb,0.222
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_42.pdb,0.222
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_62.pdb,0.222
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_5.pdb,0.222
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_38.pdb,0.222
afm_woTemplates_model_1_multimer_v1_pred_1.pdb,0.222
afm_woTemplates_model_5_multimer_v3_pred_28.pdb,0.221
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_60.pdb,0.22
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_28.pdb,0.22
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_31.pdb,0.22
cf_woTemplates_model_1_multimer_v2_pred_32.pdb,0.22
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_41.pdb,0.22
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_25.pdb,0.22
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_62.pdb,0.22
cf_woTemplates_model_5_multimer_v2_pred_27.pdb,0.22
afm_woTemplates_model_2_multimer_v1_pred_66.pdb,0.22
afm_woTemplates_model_3_multimer_v1_pred_40.pdb,0.22
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_13.pdb,0.22
afm_woTemplates_model_3_multimer_v2_pred_52.pdb,0.22
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_4.pdb,0.22
afm_woTemplates_model_3_multimer_v1_pred_37.pdb,0.22
cf_woTemplates_model_5_multimer_v2_pred_39.pdb,0.22
afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_9.pdb,0.22
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_40.pdb,0.22
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_29.pdb,0.219
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_44.pdb,0.219
afm_woTemplates_model_3_multimer_v1_pred_66.pdb,0.218
afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_42.pdb,0.218
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_2.pdb,0.218
afm_dropout_full_model_5_multimer_v1_pred_32.pdb,0.217
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_21.pdb,0.217
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_7.pdb,0.217
cf_woTemplates_model_5_multimer_v1_pred_50.pdb,0.217
afm_woTemplates_model_1_multimer_v1_pred_62.pdb,0.217
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_8.pdb,0.217
cf_woTemplates_model_1_multimer_v1_pred_15.pdb,0.217
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_66.pdb,0.217
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_50.pdb,0.217
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_15.pdb,0.217
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_54.pdb,0.217
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_62.pdb,0.217
afm_woTemplates_model_3_multimer_v1_pred_16.pdb,0.216
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_10.pdb,0.216
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_40.pdb,0.216
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_43.pdb,0.216
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_12.pdb,0.216
cf_woTemplates_model_1_multimer_v2_pred_43.pdb,0.216
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_22.pdb,0.216
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_8.pdb,0.215
afm_basic_model_4_multimer_v1_pred_14.pdb,0.215
afm_dropout_full_model_5_multimer_v1_pred_18.pdb,0.215
afm_basic_model_1_multimer_v2_pred_32.pdb,0.215
afm_woTemplates_model_2_multimer_v1_pred_5.pdb,0.215
cf_woTemplates_model_5_multimer_v1_pred_34.pdb,0.215
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_44.pdb,0.215
afm_woTemplates_model_3_multimer_v1_pred_49.pdb,0.215
afm_woTemplates_model_1_multimer_v1_pred_59.pdb,0.215
cf_woTemplates_model_5_multimer_v1_pred_2.pdb,0.215
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_23.pdb,0.215
afm_woTemplates_model_2_multimer_v1_pred_20.pdb,0.215
cf_woTemplates_model_5_multimer_v1_pred_44.pdb,0.214
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_53.pdb,0.214
afm_woTemplates_model_3_multimer_v1_pred_61.pdb,0.214
afm_woTemplates_model_1_multimer_v1_pred_58.pdb,0.214
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_26.pdb,0.214
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_12.pdb,0.214
cf_woTemplates_model_2_multimer_v1_pred_44.pdb,0.214
cf_woTemplates_model_5_multimer_v1_pred_0.pdb,0.214
afm_woTemplates_model_1_multimer_v1_pred_39.pdb,0.214
cf_woTemplates_model_1_multimer_v2_pred_10.pdb,0.213
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_7.pdb,0.213
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_54.pdb,0.213
cf_woTemplates_model_5_multimer_v2_pred_51.pdb,0.213
afm_basic_model_1_multimer_v2_pred_21.pdb,0.213
cf_woTemplates_model_1_multimer_v1_pred_13.pdb,0.213
cf_woTemplates_model_3_multimer_v1_pred_47.pdb,0.213
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_33.pdb,0.213
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_61.pdb,0.213
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_66.pdb,0.213
